,date,hashrate
0,2009-01-10,1.0652200634920637e-07
1,2009-01-11,3.195660190476193e-07
2,2009-01-12,1.0723215305820108e-06
3,2009-01-13,1.7043521015873019e-06
4,2009-01-14,2.521020816931218e-06
5,2009-01-15,3.415805670264551e-06
6,2009-01-16,4.3176919906878315e-06
7,2009-01-17,5.042041633862435e-06
8,2009-01-18,5.58885459978836e-06
9,2009-01-19,5.5533472643386245e-06
10,2009-01-20,5.766391277037037e-06
11,2009-01-21,5.7734927441269844e-06
12,2009-01-22,5.681173671957674e-06
13,2009-01-23,5.311897383280425e-06
14,2009-01-24,4.9639254958730155e-06
15,2009-01-25,5.610159001058201e-06
16,2009-01-26,6.270595440423281e-06
17,2009-01-27,6.24929103915344e-06
18,2009-01-28,6.156971966984127e-06
19,2009-01-29,6.085957296084655e-06
20,2009-01-30,6.4197262493121684e-06
21,2009-01-31,6.8032054721693124e-06
22,2009-02-01,6.306102775873015e-06
23,2009-02-02,5.752188342857142e-06
24,2009-02-03,5.8303044808465595e-06
25,2009-02-04,6.064652894814814e-06
26,2009-02-05,6.2066822366137556e-06
27,2009-02-06,6.199580769523809e-06
28,2009-02-07,6.256392506243385e-06
29,2009-02-08,6.235088104973544e-06
30,2009-02-09,6.362914512592591e-06
31,2009-02-10,6.370015979682538e-06
32,2009-02-11,6.306102775873014e-06
33,2009-02-12,6.362914512592591e-06
34,2009-02-13,6.3416101113227495e-06
35,2009-02-14,6.306102775873014e-06
36,2009-02-15,6.4126247822222205e-06
37,2009-02-16,6.327407177142855e-06
38,2009-02-17,6.29189984169312e-06
39,2009-02-18,6.227986637883597e-06
40,2009-02-19,6.178276368253967e-06
41,2009-02-20,6.17117490116402e-06
42,2009-02-21,6.1995807695238085e-06
43,2009-02-22,5.9794352897354485e-06
44,2009-02-23,5.972333822645502e-06
45,2009-02-24,5.858710349206349e-06
46,2009-02-25,5.809000079576718e-06
47,2009-02-26,5.688275139047618e-06
48,2009-02-27,5.539144330158728e-06
49,2009-02-28,5.503636994708992e-06
50,2009-03-01,5.446825257989415e-06
51,2009-03-02,5.340303251640207e-06
52,2009-03-03,5.318998850370366e-06
53,2009-03-04,5.283491514920631e-06
54,2009-03-05,5.2763900478306835e-06
55,2009-03-06,5.3474047187301545e-06
56,2009-03-07,5.31189738328042e-06
57,2009-03-08,5.3758105870899445e-06
58,2009-03-09,5.418419389629628e-06
59,2009-03-10,5.482332593439153e-06
60,2009-03-11,5.475231126349206e-06
61,2009-03-12,5.4894340605291e-06
62,2009-03-13,5.574651665608466e-06
63,2009-03-14,5.546245797248677e-06
64,2009-03-15,5.581753132698413e-06
65,2009-03-16,5.574651665608465e-06
66,2009-03-17,5.695376606137565e-06
67,2009-03-18,5.7663912770370365e-06
68,2009-03-19,5.7805942112169315e-06
69,2009-03-20,5.809000079576719e-06
70,2009-03-21,5.8374059479365075e-06
71,2009-03-22,5.56044873142857e-06
72,2009-03-23,5.446825257989416e-06
73,2009-03-24,5.4610281921693105e-06
74,2009-03-25,5.390013521269839e-06
75,2009-03-26,5.432622323809521e-06
76,2009-03-27,5.368709119999998e-06
77,2009-03-28,5.3118973832804215e-06
78,2009-03-29,5.6101590010582e-06
79,2009-03-30,5.730883941587301e-06
80,2009-03-31,5.681173671957671e-06
81,2009-04-01,5.737985408677249e-06
82,2009-04-02,5.674072204867724e-06
83,2009-04-03,5.723782474497354e-06
84,2009-04-04,5.745086875767196e-06
85,2009-04-05,5.7024780732275135e-06
86,2009-04-06,5.823203013756613e-06
87,2009-04-07,5.752188342857143e-06
88,2009-04-08,5.652767803597883e-06
89,2009-04-09,5.631463402328042e-06
90,2009-04-10,5.482332593439152e-06
91,2009-04-11,5.41131792253968e-06
92,2009-04-12,5.475231126349203e-06
93,2009-04-13,5.3758105870899445e-06
94,2009-04-14,5.3758105870899445e-06
95,2009-04-15,5.574651665608463e-06
96,2009-04-16,5.631463402328041e-06
97,2009-04-17,5.801898612486771e-06
98,2009-04-18,5.887116217566137e-06
99,2009-04-19,5.887116217566137e-06
100,2009-04-20,5.9155220859259255e-06
101,2009-04-21,5.92972502010582e-06
102,2009-04-22,5.901319151746031e-06
103,2009-04-23,5.965232355555555e-06
104,2009-04-24,5.65986927068783e-06
