Price,date,value
Ticker,,^GSPC
0,1985-01-01,179.6300048828125
1,1985-02-01,181.17999267578125
2,1985-03-01,180.66000366210938
3,1985-04-01,179.8300018310547
4,1985-05-01,189.5500030517578
5,1985-06-01,191.85000610351562
6,1985-07-01,190.9199981689453
7,1985-08-01,188.6300048828125
8,1985-09-01,182.0800018310547
9,1985-10-01,189.82000732421875
10,1985-11-01,202.1699981689453
11,1985-12-01,211.27999877929688
12,1986-01-01,211.77999877929688
13,1986-02-01,226.9199981689453
14,1986-03-01,238.89999389648438
15,1986-04-01,235.52000427246094
16,1986-05-01,247.35000610351562
17,1986-06-01,250.83999633789062
18,1986-07-01,236.1199951171875
19,1986-08-01,252.92999267578125
20,1986-09-01,231.32000732421875
21,1986-10-01,243.97999572753906
22,1986-11-01,249.22000122070312
23,1986-12-01,242.1699981689453
24,1987-01-01,274.0799865722656
25,1987-02-01,284.20001220703125
26,1987-03-01,291.70001220703125
27,1987-04-01,288.3599853515625
28,1987-05-01,290.1000061035156
29,1987-06-01,304.0
30,1987-07-01,318.6600036621094
31,1987-08-01,329.79998779296875
32,1987-09-01,321.8299865722656
33,1987-10-01,251.7899932861328
34,1987-11-01,230.3000030517578
35,1987-12-01,247.0800018310547
36,1988-01-01,257.07000732421875
37,1988-02-01,267.82000732421875
38,1988-03-01,258.8900146484375
39,1988-04-01,261.3299865722656
40,1988-05-01,262.1600036621094
41,1988-06-01,273.5
42,1988-07-01,272.0199890136719
43,1988-08-01,261.5199890136719
44,1988-09-01,271.9100036621094
45,1988-10-01,278.9700012207031
46,1988-11-01,273.70001220703125
47,1988-12-01,277.7200012207031
48,1989-01-01,297.4700012207031
49,1989-02-01,288.8599853515625
50,1989-03-01,294.8699951171875
51,1989-04-01,309.6400146484375
52,1989-05-01,320.5199890136719
53,1989-06-01,317.9800109863281
54,1989-07-01,346.0799865722656
55,1989-08-01,351.45001220703125
56,1989-09-01,349.1499938964844
57,1989-10-01,340.3599853515625
58,1989-11-01,345.989990234375
59,1989-12-01,353.3999938964844
60,1990-01-01,329.0799865722656
61,1990-02-01,331.8900146484375
62,1990-03-01,339.94000244140625
63,1990-04-01,330.79998779296875
64,1990-05-01,361.2300109863281
65,1990-06-01,358.0199890136719
66,1990-07-01,356.1499938964844
67,1990-08-01,322.55999755859375
68,1990-09-01,306.04998779296875
69,1990-10-01,304.0
70,1990-11-01,322.2200012207031
71,1990-12-01,330.2200012207031
72,1991-01-01,343.92999267578125
73,1991-02-01,367.07000732421875
74,1991-03-01,375.2200012207031
75,1991-04-01,375.3399963378906
76,1991-05-01,389.8299865722656
77,1991-06-01,371.1600036621094
78,1991-07-01,387.80999755859375
79,1991-08-01,395.42999267578125
80,1991-09-01,387.8599853515625
81,1991-10-01,392.45001220703125
82,1991-11-01,375.2200012207031
83,1991-12-01,417.0899963378906
84,1992-01-01,408.7799987792969
85,1992-02-01,412.70001220703125
86,1992-03-01,403.69000244140625
87,1992-04-01,414.95001220703125
88,1992-05-01,415.3500061035156
89,1992-06-01,408.1400146484375
90,1992-07-01,424.2099914550781
91,1992-08-01,414.0299987792969
92,1992-09-01,417.79998779296875
93,1992-10-01,418.67999267578125
94,1992-11-01,431.3500061035156
95,1992-12-01,435.7099914550781
96,1993-01-01,438.7799987792969
97,1993-02-01,443.3800048828125
98,1993-03-01,451.6700134277344
99,1993-04-01,440.19000244140625
100,1993-05-01,450.19000244140625
101,1993-06-01,450.5299987792969
102,1993-07-01,448.1300048828125
103,1993-08-01,463.55999755859375
104,1993-09-01,458.92999267578125
105,1993-10-01,467.8299865722656
106,1993-11-01,461.7900085449219
107,1993-12-01,466.45001220703125
108,1994-01-01,481.6099853515625
