,date,value
0,1975-01-01,5.5
1,1975-02-01,5.3
2,1975-03-01,5.0
3,1975-04-01,4.9
4,1975-05-01,4.5
5,1975-06-01,4.5
6,1975-07-01,4.7
7,1975-08-01,4.3
8,1975-09-01,4.0
9,1975-10-01,3.9
10,1975-11-01,3.8
11,1975-12-01,3.7
12,1976-01-01,3.5
13,1976-02-01,3.3
14,1976-03-01,3.2
15,1976-04-01,3.1
16,1976-05-01,3.3
17,1976-06-01,3.2
18,1976-07-01,3.0
19,1976-08-01,3.1
20,1976-09-01,3.0
21,1976-10-01,3.0
22,1976-11-01,2.8
23,1976-12-01,2.8
24,1977-01-01,2.9
25,1977-02-01,3.4
26,1977-03-01,3.6
27,1977-04-01,3.9
28,1977-05-01,3.8
29,1977-06-01,3.8
30,1977-07-01,3.8
31,1977-08-01,3.8
32,1977-09-01,3.7
33,1977-10-01,3.7
34,1977-11-01,3.9
35,1977-12-01,3.9
36,1978-01-01,4.0
37,1978-02-01,3.7
38,1978-03-01,3.8
39,1978-04-01,3.9
40,1978-05-01,4.3
41,1978-06-01,4.5
42,1978-07-01,4.7
43,1978-08-01,4.8
44,1978-09-01,5.2
45,1978-10-01,5.5
46,1978-11-01,5.5
47,1978-12-01,5.6
48,1979-01-01,5.8
49,1979-02-01,6.2
50,1979-03-01,6.5
51,1979-04-01,6.7
52,1979-05-01,6.9
53,1979-06-01,7.2
54,1979-07-01,7.5
55,1979-08-01,7.8
56,1979-09-01,7.9
57,1979-10-01,8.1
58,1979-11-01,8.5
59,1979-12-01,9.0
60,1980-01-01,9.5
61,1980-02-01,9.8
62,1980-03-01,10.2
63,1980-04-01,10.3
64,1980-05-01,10.3
65,1980-06-01,10.3
66,1980-07-01,9.6
67,1980-08-01,9.5
68,1980-09-01,9.5
69,1980-10-01,9.5
70,1980-11-01,9.6
71,1980-12-01,9.5
72,1981-01-01,9.2
73,1981-02-01,9.0
74,1981-03-01,8.5
75,1981-04-01,8.2
76,1981-05-01,8.0
77,1981-06-01,8.0
78,1981-07-01,8.9
79,1981-08-01,9.0
80,1981-09-01,9.2
81,1981-10-01,8.7
82,1981-11-01,8.2
83,1981-12-01,7.7
84,1982-01-01,7.2
85,1982-02-01,6.7
86,1982-03-01,6.1
87,1982-04-01,5.9
88,1982-05-01,6.2
89,1982-06-01,6.5
90,1982-07-01,6.0
91,1982-08-01,5.5
92,1982-09-01,4.6
93,1982-10-01,4.7
94,1982-11-01,4.2
95,1982-12-01,3.6
96,1983-01-01,3.5
97,1983-02-01,3.3
98,1983-03-01,3.4
99,1983-04-01,3.8
100,1983-05-01,3.3
101,1983-06-01,2.4
102,1983-07-01,2.3
103,1983-08-01,2.4
104,1983-09-01,2.7
105,1983-10-01,2.7
106,1983-11-01,3.1
107,1983-12-01,3.7
108,1984-01-01,4.2
109,1984-02-01,4.6
110,1984-03-01,4.8
111,1984-04-01,4.5
112,1984-05-01,4.3
113,1984-06-01,4.3
114,1984-07-01,4.3
115,1984-08-01,4.3
116,1984-09-01,4.3
117,1984-10-01,4.3
118,1984-11-01,4.2
119,1984-12-01,4.1
120,1985-01-01,3.6
121,1985-02-01,3.7
122,1985-03-01,3.9
123,1985-04-01,3.7
124,1985-05-01,3.7
125,1985-06-01,3.8
126,1985-07-01,3.6
127,1985-08-01,3.5
128,1985-09-01,3.4
129,1985-10-01,3.4
130,1985-11-01,3.7
131,1985-12-01,4.0
132,1986-01-01,4.2
133,1986-02-01,3.4
134,1986-03-01,2.3
135,1986-04-01,1.7
136,1986-05-01,1.8
137,1986-06-01,1.9
138,1986-07-01,1.8
139,1986-08-01,1.7
140,1986-09-01,1.9
141,1986-10-01,1.7
142,1986-11-01,1.4
143,1986-12-01,1.3
144,1987-01-01,1.5
145,1987-02-01,2.1
146,1987-03-01,3.1
147,1987-04-01,4.0
148,1987-05-01,4.0
149,1987-06-01,4.1
150,1987-07-01,4.3
151,1987-08-01,4.7
152,1987-09-01,4.7
153,1987-10-01,4.8
154,1987-11-01,5.0
155,1987-12-01,4.8
156,1988-01-01,4.6
157,1988-02-01,4.4
158,1988-03-01,4.3
159,1988-04-01,4.5
160,1988-05-01,4.5
161,1988-06-01,4.5
162,1988-07-01,4.7
163,1988-08-01,4.7
164,1988-09-01,4.8
165,1988-10-01,4.9
166,1988-11-01,4.9
167,1988-12-01,5.1
168,1989-01-01,5.2
169,1989-02-01,5.4
170,1989-03-01,5.7
171,1989-04-01,5.9
172,1989-05-01,6.2
173,1989-06-01,6.1
174,1989-07-01,6.0
175,1989-08-01,5.5
176,1989-09-01,5.3
177,1989-10-01,5.5
178,1989-11-01,5.6
179,1989-12-01,5.6
180,1990-01-01,6.3
181,1990-02-01,6.4
182,1990-03-01,6.4
183,1990-04-01,5.8
184,1990-05-01,5.4
185,1990-06-01,5.8
186,1990-07-01,6.0
187,1990-08-01,7.1
188,1990-09-01,7.7
189,1990-10-01,8.0
190,1990-11-01,7.8
191,1990-12-01,7.9
192,1991-01-01,7.2
193,1991-02-01,6.8
194,1991-03-01,6.2
195,1991-04-01,6.2
196,1991-05-01,6.5
197,1991-06-01,6.1
198,1991-07-01,5.7
199,1991-08-01,5.0
200,1991-09-01,4.5
201,1991-10-01,3.8
202,1991-11-01,4.1
203,1991-12-01,4.0
204,1992-01-01,3.6
205,1992-02-01,3.8
206,1992-03-01,4.3
207,1992-04-01,4.3
208,1992-05-01,4.1
209,1992-06-01,4.1
210,1992-07-01,4.3
211,1992-08-01,4.2
212,1992-09-01,4.1
213,1992-10-01,4.5
214,1992-11-01,4.3
215,1992-12-01,4.1
216,1993-01-01,4.5
217,1993-02-01,4.5
218,1993-03-01,4.2
219,1993-04-01,4.4
220,1993-05-01,4.5
221,1993-06-01,4.2
222,1993-07-01,4.0
223,1993-08-01,4.0
224,1993-09-01,3.9
225,1993-10-01,3.9
226,1993-11-01,3.9
227,1993-12-01,4.0
228,1994-01-01,3.5
229,1994-02-01,3.6
230,1994-03-01,3.8
231,1994-04-01,3.4
232,1994-05-01,3.3
233,1994-06-01,3.6
234,1994-07-01,3.9
235,1994-08-01,4.2
236,1994-09-01,4.3
237,1994-10-01,3.8
238,1994-11-01,3.8
239,1994-12-01,3.8
240,1995-01-01,4.2
241,1995-02-01,4.2
242,1995-03-01,4.1
243,1995-04-01,4.6
244,1995-05-01,4.6
245,1995-06-01,4.5
246,1995-07-01,4.2
247,1995-08-01,3.9
248,1995-09-01,3.8
249,1995-10-01,4.1
250,1995-11-01,3.9
251,1995-12-01,3.8
252,1996-01-01,4.2
253,1996-02-01,4.1
254,1996-03-01,4.3
255,1996-04-01,4.3
256,1996-05-01,4.3
257,1996-06-01,4.3
258,1996-07-01,4.4
259,1996-08-01,4.3
260,1996-09-01,4.6
261,1996-10-01,4.7
262,1996-11-01,5.0
263,1996-12-01,5.2
264,1997-01-01,4.7
265,1997-02-01,4.7
266,1997-03-01,4.3
267,1997-04-01,3.8
268,1997-05-01,3.5
269,1997-06-01,3.5
270,1997-07-01,3.4
271,1997-08-01,3.6
272,1997-09-01,3.5
273,1997-10-01,3.3
274,1997-11-01,3.0
275,1997-12-01,2.7
276,1998-01-01,2.6
277,1998-02-01,2.3
278,1998-03-01,2.2
279,1998-04-01,2.3
280,1998-05-01,2.7
281,1998-06-01,2.6
282,1998-07-01,2.8
283,1998-08-01,2.6
284,1998-09-01,2.3
285,1998-10-01,2.4
286,1998-11-01,2.4
287,1998-12-01,2.6
288,1999-01-01,2.7
289,1999-02-01,2.7
290,1999-03-01,2.8
291,1999-04-01,3.7
292,1999-05-01,3.4
293,1999-06-01,3.2
294,1999-07-01,3.5
295,1999-08-01,3.7
296,1999-09-01,4.3
