date,market_cap
2013-04-30,1501657493.0
2013-05-31,1436386730.0
2013-06-30,1082693996.0
2013-07-31,1267183179.0
2013-08-31,1602407100.0
2013-09-30,1549941780.0
2013-10-31,2432069229.0
2013-11-30,13593664650.0
2013-12-31,9205343763.0
2014-01-31,10087796517.0
2014-02-28,7065922360.0
2014-03-31,5756309240.0
2014-04-30,5690810165.0
2014-05-31,8007248676.0
2014-06-30,8269625590.124999
2014-07-31,7630850376.333778
2014-08-31,6342575501.242498
2014-09-30,5164012591.079999
2014-10-31,4526519245.630091
2014-11-30,5104546200.8
2014-12-31,4338943850.325
2015-01-31,3005342178.85
2015-02-28,3522504178.955
2015-03-31,3403299617.6200013
2015-04-30,3333116826.64
2015-05-31,3266430207.375
2015-06-30,3760650012.699992
2015-07-31,4090154891.219836
2015-08-31,3350144206.29
2015-09-30,3463401139.065
2015-10-31,4617510889.9075
2015-11-30,5637217098.625
2015-12-31,6479728151.175
2016-01-31,5520342696.0
2016-02-29,6669535766.075
2016-03-31,6388090244.55
2016-04-30,6938342199.674998
2016-05-31,8293336919.625002
2016-06-30,10556309174.399996
2016-07-31,9847086965.691307
2016-08-31,9058256694.850403
2016-09-30,9669703048.380001
2016-10-31,11143032475.877998
2016-11-30,11890119632.989996
2016-12-31,15537921940.53077
2017-01-31,15624634422.4056
2017-02-28,19271383899.146996
2017-03-31,17519577833.28675
2017-04-30,22007601314.79
2017-05-31,38113024210.0
2017-06-30,40897674121.940735
2017-07-31,47322548226.26965
2017-08-31,77767841900.02457
2017-09-30,71329258156.47789
2017-10-31,106082152741.21794
2017-11-30,173903131019.367
2017-12-31,248925602660.692
2018-01-31,168188285150.7701
2018-02-28,180884108725.43018
2018-03-31,116900853303.24556
2018-04-30,158592809944.5081
2018-05-31,125953862789.73985
2018-06-30,105857391286.9164
2018-07-31,140640772123.99832
2018-08-31,121103237785.70247
2018-09-30,114265552573.72394
2018-10-31,109890575608.10541
2018-11-30,74400715839.6163
2018-12-31,66494185030.58888
2019-01-31,60555372963.791016
2019-02-28,67155912259.18905
2019-03-31,72305792937.3489
2019-04-30,91885324029.79892
2019-05-31,147528939419.42154
2019-06-30,213020899675.1298
2019-07-31,170790961770.58182
2019-08-31,171703455568.1713
2019-09-30,144886125387.55658
2019-10-31,165289440818.62827
2019-11-30,139585890644.02713
2019-12-31,131377523457.07199
2020-01-31,172993102966.37723
2020-02-29,159030381910.26715
2020-03-31,117151628726.53436
2020-04-30,160483573440.17792
2020-05-31,177978616382.68933
2020-06-30,169175896894.16483
2020-07-31,205200775318.21756
2020-08-31,216179629567.18042
2020-09-30,200532996047.58585
2020-10-31,250845436637.92026
2020-11-30,336495192223.0139
2020-12-31,535967306917.84125
2021-01-31,636624676861.2642
2021-02-28,869649724200.5775
2021-03-31,1095293012032.8433
2021-04-30,1001973605935.3958
2021-05-31,668664301773.5417
2021-06-30,674231340724.4149
2021-07-31,786531956383.648
2021-08-31,885729258052.6316
2021-09-30,782626384092.2843
2021-10-31,1166423768409.5984
2021-11-30,1092574224475.6908
2021-12-31,892648631305.5416
2022-01-31,719570142321.8397
2022-02-28,717619764688.0872
2022-03-31,895356010540.8462
2022-04-30,735829877665.6912
2022-05-31,604926607440.7722
2022-06-30,384067866465.5609
2022-07-31,451726702392.36206
2022-08-31,379555151404.602
2022-09-30,374830625219.6003
2022-10-31,395548335410.141
2022-11-30,316170903326.0224
2022-12-31,319722045805.09534
2023-01-31,439295730927.16473
2023-02-28,454364917718.867
2023-03-31,542369769760.28796
2023-04-30,565714356650.6621
2023-05-31,537414074116.4985
2023-06-30,591688337868.8445
2023-07-31,569135711632.8535
2023-08-31,531729400483.3156
2023-09-30,524946724658.764
2023-10-31,673508057017.6387
2023-11-30,740494537382.5989
2023-12-31,826609156660.5117
2024-01-31,839294111912.5715
2024-02-29,1225273849241.6978
2024-03-31,1370247487960.0945
2024-04-30,1257159131219.0603
2024-05-31,1346147846430.124
2024-06-30,1199792912680.844
2024-07-31,1306758338817.987
2024-08-31,1168247205700.9673
2024-09-30,1297825615076.3352
2024-10-31,1431085552900.1965
2024-11-30,1926826079390.2441
2024-12-31,1833188187477.531
2025-01-31,2076760153260.6191
2025-02-28,1679555320077.2097
2025-03-31,1633996304187.2593
2025-04-30,1870818389258.4038
2025-05-31,2066830946978.0637
2025-06-30,2155183166489.813
2025-07-31,2343717963709.7124
2025-08-31,2148007411300.2964
