,date,value
0,1975-01-01,7.13
1,1975-02-01,6.24
2,1975-03-01,5.54
3,1975-04-01,5.49
4,1975-05-01,5.22
5,1975-06-01,5.55
6,1975-07-01,6.1
7,1975-08-01,6.14
8,1975-09-01,6.24
9,1975-10-01,5.82
10,1975-11-01,5.22
11,1975-12-01,5.2
12,1976-01-01,4.87
13,1976-02-01,4.77
14,1976-03-01,4.84
15,1976-04-01,4.82
16,1976-05-01,5.29
17,1976-06-01,5.48
18,1976-07-01,5.31
19,1976-08-01,5.29
20,1976-09-01,5.25
21,1976-10-01,5.02
22,1976-11-01,4.95
23,1976-12-01,4.65
24,1977-01-01,4.61
25,1977-02-01,4.68
26,1977-03-01,4.69
27,1977-04-01,4.73
28,1977-05-01,5.35
29,1977-06-01,5.39
30,1977-07-01,5.42
31,1977-08-01,5.9
32,1977-09-01,6.14
33,1977-10-01,6.47
34,1977-11-01,6.51
35,1977-12-01,6.56
36,1978-01-01,6.7
37,1978-02-01,6.78
38,1978-03-01,6.79
39,1978-04-01,6.89
40,1978-05-01,7.36
41,1978-06-01,7.6
42,1978-07-01,7.81
43,1978-08-01,8.04
44,1978-09-01,8.45
45,1978-10-01,8.96
46,1978-11-01,9.76
47,1978-12-01,10.03
48,1979-01-01,10.07
49,1979-02-01,10.06
50,1979-03-01,10.09
51,1979-04-01,10.01
52,1979-05-01,10.24
53,1979-06-01,10.29
54,1979-07-01,10.47
55,1979-08-01,10.94
56,1979-09-01,11.43
57,1979-10-01,13.77
58,1979-11-01,13.18
59,1979-12-01,13.78
60,1980-01-01,13.82
61,1980-02-01,14.13
62,1980-03-01,17.19
63,1980-04-01,17.61
64,1980-05-01,10.98
65,1980-06-01,9.47
66,1980-07-01,9.03
67,1980-08-01,9.61
68,1980-09-01,10.87
69,1980-10-01,12.81
70,1980-11-01,15.85
71,1980-12-01,18.9
72,1981-01-01,19.08
73,1981-02-01,15.93
74,1981-03-01,14.7
75,1981-04-01,15.72
76,1981-05-01,18.52
77,1981-06-01,19.1
78,1981-07-01,19.04
79,1981-08-01,17.82
80,1981-09-01,15.87
81,1981-10-01,15.08
82,1981-11-01,13.31
83,1981-12-01,12.37
84,1982-01-01,13.22
85,1982-02-01,14.78
86,1982-03-01,14.68
87,1982-04-01,14.94
88,1982-05-01,14.45
89,1982-06-01,14.15
90,1982-07-01,12.59
91,1982-08-01,10.12
92,1982-09-01,10.31
93,1982-10-01,9.71
94,1982-11-01,9.2
95,1982-12-01,8.95
96,1983-01-01,8.68
97,1983-02-01,8.51
98,1983-03-01,8.77
99,1983-04-01,8.8
100,1983-05-01,8.63
101,1983-06-01,8.98
102,1983-07-01,9.37
103,1983-08-01,9.56
104,1983-09-01,9.45
105,1983-10-01,9.48
106,1983-11-01,9.34
107,1983-12-01,9.47
108,1984-01-01,9.56
109,1984-02-01,9.59
110,1984-03-01,9.91
111,1984-04-01,10.29
112,1984-05-01,10.32
113,1984-06-01,11.06
114,1984-07-01,11.23
115,1984-08-01,11.64
116,1984-09-01,11.3
117,1984-10-01,9.99
118,1984-11-01,9.43
119,1984-12-01,8.38
120,1985-01-01,8.35
121,1985-02-01,8.5
122,1985-03-01,8.58
123,1985-04-01,8.27
124,1985-05-01,7.97
125,1985-06-01,7.53
126,1985-07-01,7.88
127,1985-08-01,7.9
128,1985-09-01,7.92
129,1985-10-01,7.99
130,1985-11-01,8.05
131,1985-12-01,8.27
132,1986-01-01,8.14
133,1986-02-01,7.86
134,1986-03-01,7.48
135,1986-04-01,6.99
136,1986-05-01,6.85
137,1986-06-01,6.92
138,1986-07-01,6.56
139,1986-08-01,6.17
140,1986-09-01,5.89
141,1986-10-01,5.85
142,1986-11-01,6.04
143,1986-12-01,6.91
144,1987-01-01,6.43
145,1987-02-01,6.1
146,1987-03-01,6.13
147,1987-04-01,6.37
148,1987-05-01,6.85
149,1987-06-01,6.73
150,1987-07-01,6.58
151,1987-08-01,6.73
152,1987-09-01,7.22
153,1987-10-01,7.29
154,1987-11-01,6.69
155,1987-12-01,6.77
156,1988-01-01,6.83
157,1988-02-01,6.58
158,1988-03-01,6.58
159,1988-04-01,6.87
160,1988-05-01,7.09
161,1988-06-01,7.51
162,1988-07-01,7.75
163,1988-08-01,8.01
164,1988-09-01,8.19
165,1988-10-01,8.3
166,1988-11-01,8.35
167,1988-12-01,8.76
168,1989-01-01,9.12
169,1989-02-01,9.36
170,1989-03-01,9.85
171,1989-04-01,9.84
172,1989-05-01,9.81
173,1989-06-01,9.53
174,1989-07-01,9.24
175,1989-08-01,8.99
176,1989-09-01,9.02
177,1989-10-01,8.84
178,1989-11-01,8.55
179,1989-12-01,8.45
180,1990-01-01,8.23
181,1990-02-01,8.24
182,1990-03-01,8.28
183,1990-04-01,8.26
184,1990-05-01,8.18
185,1990-06-01,8.29
186,1990-07-01,8.15
187,1990-08-01,8.13
188,1990-09-01,8.2
189,1990-10-01,8.11
190,1990-11-01,7.81
191,1990-12-01,7.31
192,1991-01-01,6.91
193,1991-02-01,6.25
194,1991-03-01,6.12
195,1991-04-01,5.91
196,1991-05-01,5.78
197,1991-06-01,5.9
198,1991-07-01,5.82
199,1991-08-01,5.66
200,1991-09-01,5.45
201,1991-10-01,5.21
202,1991-11-01,4.81
203,1991-12-01,4.43
204,1992-01-01,4.03
205,1992-02-01,4.06
206,1992-03-01,3.98
207,1992-04-01,3.73
208,1992-05-01,3.82
209,1992-06-01,3.76
210,1992-07-01,3.25
211,1992-08-01,3.3
212,1992-09-01,3.22
213,1992-10-01,3.1
214,1992-11-01,3.09
215,1992-12-01,2.92
216,1993-01-01,3.02
217,1993-02-01,3.03
218,1993-03-01,3.07
219,1993-04-01,2.96
220,1993-05-01,3.0
221,1993-06-01,3.04
222,1993-07-01,3.06
223,1993-08-01,3.03
224,1993-09-01,3.09
225,1993-10-01,2.99
226,1993-11-01,3.02
227,1993-12-01,2.96
228,1994-01-01,3.05
229,1994-02-01,3.25
230,1994-03-01,3.34
231,1994-04-01,3.56
232,1994-05-01,4.01
233,1994-06-01,4.25
234,1994-07-01,4.26
235,1994-08-01,4.47
236,1994-09-01,4.73
237,1994-10-01,4.76
238,1994-11-01,5.29
239,1994-12-01,5.45
240,1995-01-01,5.53
241,1995-02-01,5.92
242,1995-03-01,5.98
243,1995-04-01,6.05
244,1995-05-01,6.01
245,1995-06-01,6.0
246,1995-07-01,5.85
247,1995-08-01,5.74
248,1995-09-01,5.8
249,1995-10-01,5.76
250,1995-11-01,5.8
251,1995-12-01,5.6
252,1996-01-01,5.56
253,1996-02-01,5.22
254,1996-03-01,5.31
255,1996-04-01,5.22
256,1996-05-01,5.24
257,1996-06-01,5.27
258,1996-07-01,5.4
259,1996-08-01,5.22
260,1996-09-01,5.3
261,1996-10-01,5.24
262,1996-11-01,5.31
263,1996-12-01,5.29
264,1997-01-01,5.25
265,1997-02-01,5.19
266,1997-03-01,5.39
267,1997-04-01,5.51
268,1997-05-01,5.5
269,1997-06-01,5.56
270,1997-07-01,5.52
271,1997-08-01,5.54
272,1997-09-01,5.54
273,1997-10-01,5.5
274,1997-11-01,5.52
275,1997-12-01,5.5
276,1998-01-01,5.56
277,1998-02-01,5.51
278,1998-03-01,5.49
279,1998-04-01,5.45
280,1998-05-01,5.49
281,1998-06-01,5.56
282,1998-07-01,5.54
283,1998-08-01,5.55
284,1998-09-01,5.51
285,1998-10-01,5.07
286,1998-11-01,4.83
287,1998-12-01,4.68
288,1999-01-01,4.63
289,1999-02-01,4.76
290,1999-03-01,4.81
291,1999-04-01,4.74
292,1999-05-01,4.74
293,1999-06-01,4.76
294,1999-07-01,4.99
295,1999-08-01,5.07
296,1999-09-01,5.22
297,1999-10-01,5.2
298,1999-11-01,5.42
299,1999-12-01,5.3
300,2000-01-01,5.45
301,2000-02-01,5.73
302,2000-03-01,5.85
303,2000-04-01,6.02
304,2000-05-01,6.27
305,2000-06-01,6.53
306,2000-07-01,6.54
307,2000-08-01,6.5
308,2000-09-01,6.52
309,2000-10-01,6.51
310,2000-11-01,6.51
311,2000-12-01,6.4
312,2001-01-01,5.98
313,2001-02-01,5.49
314,2001-03-01,5.31
315,2001-04-01,4.8
316,2001-05-01,4.21
317,2001-06-01,3.97
318,2001-07-01,3.77
319,2001-08-01,3.65
320,2001-09-01,3.07
321,2001-10-01,2.49
322,2001-11-01,2.09
323,2001-12-01,1.82
324,2002-01-01,1.73
325,2002-02-01,1.74
326,2002-03-01,1.73
327,2002-04-01,1.75
328,2002-05-01,1.75
329,2002-06-01,1.75
330,2002-07-01,1.73
331,2002-08-01,1.74
332,2002-09-01,1.75
333,2002-10-01,1.75
334,2002-11-01,1.34
335,2002-12-01,1.24
336,2003-01-01,1.24
337,2003-02-01,1.26
338,2003-03-01,1.25
339,2003-04-01,1.26
340,2003-05-01,1.26
341,2003-06-01,1.22
342,2003-07-01,1.01
343,2003-08-01,1.03
344,2003-09-01,1.01
345,2003-10-01,1.01
346,2003-11-01,1.0
347,2003-12-01,0.98
348,2004-01-01,1.0
349,2004-02-01,1.01
350,2004-03-01,1.0
351,2004-04-01,1.0
352,2004-05-01,1.0
353,2004-06-01,1.03
354,2004-07-01,1.26
355,2004-08-01,1.43
356,2004-09-01,1.61
357,2004-10-01,1.76
358,2004-11-01,1.93
359,2004-12-01,2.16
360,2005-01-01,2.28
361,2005-02-01,2.5
362,2005-03-01,2.63
363,2005-04-01,2.79
364,2005-05-01,3.0
365,2005-06-01,3.04
366,2005-07-01,3.26
367,2005-08-01,3.5
368,2005-09-01,3.62
369,2005-10-01,3.78
370,2005-11-01,4.0
371,2005-12-01,4.16
372,2006-01-01,4.29
373,2006-02-01,4.49
374,2006-03-01,4.59
375,2006-04-01,4.79
376,2006-05-01,4.94
377,2006-06-01,4.99
378,2006-07-01,5.24
379,2006-08-01,5.25
380,2006-09-01,5.25
381,2006-10-01,5.25
382,2006-11-01,5.25
383,2006-12-01,5.24
384,2007-01-01,5.25
385,2007-02-01,5.26
386,2007-03-01,5.26
387,2007-04-01,5.25
388,2007-05-01,5.25
389,2007-06-01,5.25
390,2007-07-01,5.26
391,2007-08-01,5.02
392,2007-09-01,4.94
393,2007-10-01,4.76
394,2007-11-01,4.49
395,2007-12-01,4.24
396,2008-01-01,3.94
397,2008-02-01,2.98
398,2008-03-01,2.61
399,2008-04-01,2.28
400,2008-05-01,1.98
401,2008-06-01,2.0
402,2008-07-01,2.01
403,2008-08-01,2.0
404,2008-09-01,1.81
405,2008-10-01,0.97
406,2008-11-01,0.39
407,2008-12-01,0.16
408,2009-01-01,0.15
409,2009-02-01,0.22
410,2009-03-01,0.18
411,2009-04-01,0.15
412,2009-05-01,0.18
413,2009-06-01,0.21
414,2009-07-01,0.16
415,2009-08-01,0.16
416,2009-09-01,0.15
417,2009-10-01,0.12
418,2009-11-01,0.12
419,2009-12-01,0.12
420,2010-01-01,0.11
421,2010-02-01,0.13
422,2010-03-01,0.16
423,2010-04-01,0.2
424,2010-05-01,0.2
425,2010-06-01,0.18
426,2010-07-01,0.18
427,2010-08-01,0.19
428,2010-09-01,0.19
429,2010-10-01,0.19
430,2010-11-01,0.19
431,2010-12-01,0.18
432,2011-01-01,0.17
433,2011-02-01,0.16
434,2011-03-01,0.14
435,2011-04-01,0.1
436,2011-05-01,0.09
437,2011-06-01,0.09
438,2011-07-01,0.07
439,2011-08-01,0.1
