date,total_mcap
2013-04-29,1661441770.0
2013-04-30,1592765051.0
2013-05-01,1378705103.0
2013-05-02,1220763415.0
2013-05-03,1075224202.0
2013-05-04,1316363524.0
2013-05-05,1382120536.0
2013-05-06,1393824485.0
2013-05-07,1254637674.0
2013-05-08,1330986953.0
2013-05-09,1334911702.0
2013-05-10,1395116543.0
2013-05-11,1332012007.0
2013-05-12,1350327204.0
2013-05-13,1377789386.0
2013-05-14,1345650748.0
2013-05-15,1338823587.0
2013-05-16,1353313527.0
2013-05-17,1443958629.0
2013-05-18,1455779820.0
2013-05-19,1417905572.0
2013-05-20,1441122694.0
2013-05-21,1443607754.0
2013-05-22,1445715359.0
2013-05-23,1478020525.0
2013-05-24,1545112414.0
2013-05-25,1533661573.0
2013-05-26,1580501022.0
2013-05-27,1515097522.0
2013-05-28,1517015783.0
2013-05-29,1494663310.0
2013-05-30,1496904749.0
2013-05-31,1501246629.0
2013-06-01,1513483050.0
2013-06-02,1425253662.0
2013-06-03,1421300914.0
2013-06-05,1428937992.0
2013-06-06,1431055975.0
2013-06-07,1399369412.0
2013-06-08,1295759699.0
2013-06-09,1276440352.0
2013-06-10,1175742721.0
2013-06-11,1249480387.0
2013-06-12,1281020351.0
2013-06-13,1274880850.0
2013-06-14,1209926438.0
2013-06-15,1157471483.0
2013-06-16,1175106991.0
2013-06-17,1181799762.0
2013-06-18,1203069155.0
2013-06-19,1255047714.0
2013-06-20,1272106014.0
2013-06-21,1307192102.0
2013-06-22,1295399444.0
2013-06-23,1280858025.0
2013-06-24,1288678379.0
2013-06-25,1223713187.0
2013-06-26,1236186084.0
2013-06-27,1235489718.0
2013-06-28,1194934899.0
2013-06-29,1121179078.0
2013-06-30,1144211142.0
2013-07-01,1173606025.0
2013-07-02,1081520862.0
2013-07-03,1094150829.0
2013-07-04,950276548.0
2013-07-05,952140445.0
2013-07-06,826561927.0
2013-07-07,829092669.0
2013-07-08,942313402.0
2013-07-09,928926091.0
2013-07-10,935842308.0
2013-07-11,1040602951.0
2013-07-12,1134446242.0
2013-07-13,1066507120.0
2013-07-14,1155324187.0
2013-07-15,1139102572.0
2013-07-16,1179325520.0
2013-07-17,1202570259.0
2013-07-18,1188974868.0
2013-07-19,1081670768.0
2013-07-20,1116264659.0
2013-07-21,1088742655.0
2013-07-22,1102248729.0
2013-07-23,1115501747.0
2013-07-24,1151633055.0
2013-07-25,1153139045.0
2013-07-26,1180880341.0
2013-07-27,1148339225.0
2013-07-28,1145435127.0
2013-07-29,1202095629.0
2013-07-30,1236716068.0
2013-07-31,1339436875.0
2013-08-01,1291879380.0
2013-08-02,1239228980.0
2013-08-03,1264382935.0
2013-08-04,1326411168.0
2013-08-05,1342634881.0
2013-08-06,1326756331.0
2013-08-07,1334526427.0
2013-08-08,1274852723.0
2013-08-09,1294963874.0
2013-08-10,1286310198.0
2013-08-11,1297135658.0
2013-08-12,1313027073.0
2013-08-13,1327786925.0
2013-08-14,1391639436.0
2013-08-15,1387094734.0
2013-08-16,1358066069.0
2013-08-17,1417789458.0
2013-08-18,1445109513.0
2013-08-19,1491994714.0
2013-08-20,1514081839.0
